b0_xanS_all,b0_mel0_all,center_stripe_rad_all,xanSmel_density_all,melxanS_density_all,mean_mel_space_all,var_mel_space_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,mel_CV_all,mean_pca_ratio_mel_all,med_pca_ratio_mel_all,alignment_score_all,mel_med_cluster_size_all,mel_mean_cluster_size_all,mel_cluster_size_75_all,annulus_In_MB
0,0,0,0,0,0,0,47.3122615503359,99.410348895773,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1588231725869,99.9237055151001,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.3023581793194,94.5124931986853,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.7029349341252,82.3327033910324,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1009763149097,101.749934648255,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1440801825665,100.05836336675,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.8563908889423,108.784386862985,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5345775775103,95.4201780007654,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0780707547939,93.1651994188036,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4000810830714,94.2063371813087,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2775179718615,102.148664711142,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5890330228399,94.6933980604026,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1210211830308,100.767159337173,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2939636282751,95.8924658540478,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.272323704765,92.6921557636614,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1408824853134,115.965202434438,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.3546847515212,94.8890325535024,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4152969924018,96.0526271571982,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6090525097431,81.9098966647963,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2590940683285,96.2376051829266,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4853796429447,108.915565540816,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4484682762069,95.7625186018935,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.287182623374,99.2963334891019,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5293605654915,80.0443462248729,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0951998889363,95.8675278132568,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.8128559053311,80.074404120172,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.393228860327,90.2679174568901,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6557644357981,90.4738535202687,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2366909252433,108.371721864588,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
